Index,Accel X (LSB),Accel Y (LSB),Accel Z (LSB),Gyro X (LSB),Gyro Y (LSB),Gyro Z (LSB),Compass X (LSB),Compass Y (LSB),Compass Z (LSB),Temperature,
14691,28,-440,16416,29,-49,5,-89,217,275,32,04466,
14692,36,-512,16464,13,-22,3,-89,217,275,31,94881,
14693,-60,-436,16516,2,-62,-3,-78,217,262,32,04466,
14694,56,-520,16532,11,1,10,-84,212,262,32,04466,
14695,224,-456,16440,-3,-22,24,-78,223,265,31,85297,
14696,112,-428,16496,-6,-10,27,-78,223,265,32,09258,
14697,48,-512,16472,48,48,25,-80,213,266,31,94881,
14698,104,-396,16444,31,-33,0,-81,217,265,31,85297,
14699,44,-516,16424,66,8,54,-75,213,271,32,09258,
14700,96,-520,16424,30,-34,7,-75,213,271,31,94881,
14701,120,-452,16480,-39,-56,-9,-75,213,271,31,94881,
14702,128,-512,16440,-4,-53,19,-81,215,267,31,90089,
14703,24,-340,16432,-6,-41,5,-80,216,266,31,94881,
14704,4,-444,16532,39,-57,57,-80,216,266,31,94881,
14705,12,-452,16360,19,-27,24,-80,216,266,32,04466,
14706,32,-520,16484,-12,-38,1,-77,216,263,31,85297,
14707,88,-408,16384,27,-48,39,-87,213,266,31,94881,
14708,-20,-508,16528,28,-82,21,-87,216,263,32,04466,
14709,32,-528,16388,17,-27,13,-87,216,263,31,90089,
14710,36,-456,16448,38,-25,30,-87,216,263,31,94881,
14711,-32,-420,16484,-9,-71,-18,-80,219,268,32,1405,
14712,-48,-532,16352,-6,-55,13,-86,212,265,32,09258,
14713,36,-448,16412,21,-37,31,-86,212,265,32,09258,
14714,12,-424,16428,-7,-46,8,-86,212,267,32,1405,
14715,72,-488,16392,29,-41,30,-86,212,267,32,1405,
14716,104,-460,16460,11,-46,-8,-71,223,270,32,04466,
14717,-80,-492,16388,7,-53,13,-71,223,270,32,23635,
14718,56,-456,16532,11,-31,46,-77,213,271,31,85297,
14719,-24,-440,16460,-23,-48,-6,-80,219,263,31,94881,
14720,36,-424,16528,12,-60,34,-80,219,263,32,09258,
14721,104,-424,16440,-17,-32,49,-76,212,270,32,09258,
